date,Discharge(cumecs)
1/1/1984 0:00,1.408
1/2/1984 0:00,1.218
1/3/1984 0:00,0.955
1/4/1984 0:00,0.147
1/5/1984 0:00,1.03
1/6/1984 0:00,6.257
1/7/1984 0:00,253.208
1/8/1984 0:00,7.153
1/9/1984 0:00,4.434
1/10/1984 0:00,6.563
1/11/1984 0:00,3.119
1/12/1984 0:00,0.722
1/1/1985 0:00,1.024
1/2/1985 0:00,0.64
1/3/1985 0:00,0.816
1/4/1985 0:00,1.679
1/5/1985 0:00,4.329
1/6/1985 0:00,4.76
1/7/1985 0:00,10.931
1/8/1985 0:00,7.874
1/9/1985 0:00,8.064
1/10/1985 0:00,8.54
1/11/1985 0:00,5.225
1/12/1985 0:00,1.841
1/1/1986 0:00,2.088
1/2/1986 0:00,2.463
1/3/1986 0:00,1.082
1/4/1986 0:00,3.968
1/5/1986 0:00,4.413
1/6/1986 0:00,6.259
1/7/1986 0:00,20.79
1/8/1986 0:00,10.696
1/9/1986 0:00,17.579
1/10/1986 0:00,6.827
1/11/1986 0:00,1.055
1/12/1986 0:00,2.244
1/1/1987 0:00,1.264
1/2/1987 0:00,1.549
1/3/1987 0:00,0.996
1/4/1987 0:00,0.906
1/5/1987 0:00,0.936
1/6/1987 0:00,3.782
1/7/1987 0:00,10.641
1/8/1987 0:00,22.641
1/9/1987 0:00,54.874
1/10/1987 0:00,13.138
1/11/1987 0:00,3.284
1/12/1987 0:00,1.384
1/1/1988 0:00,1.078
1/2/1988 0:00,1.706
1/3/1988 0:00,1.232
1/4/1988 0:00,0.403
1/5/1988 0:00,2.368
1/6/1988 0:00,6.416
1/7/1988 0:00,4.177
1/8/1988 0:00,7.128
1/9/1988 0:00,72.322
1/10/1988 0:00,12.648
1/11/1988 0:00,2.781
1/12/1988 0:00,0.685
1/1/1989 0:00,1.571
1/2/1989 0:00,1.71
1/3/1989 0:00,1.605
1/4/1989 0:00,9.923
1/5/1989 0:00,2.045
1/6/1989 0:00,6.692
1/7/1989 0:00,18.555
1/8/1989 0:00,23.455
1/9/1989 0:00,22.342
1/10/1989 0:00,9.143
1/11/1989 0:00,3.062
1/12/1989 0:00,0.88
1/1/1990 0:00,1.646
1/2/1990 0:00,2.346
1/3/1990 0:00,1.253
1/4/1990 0:00,0.767
1/5/1990 0:00,93.63
1/6/1990 0:00,5.792
1/7/1990 0:00,21.816
1/8/1990 0:00,83.288
1/9/1990 0:00,7.178
1/10/1990 0:00,4.395
1/11/1990 0:00,0.857
1/12/1990 0:00,1.628
1/1/1991 0:00,1.835
1/2/1991 0:00,1.274
1/3/1991 0:00,0.96
1/4/1991 0:00,0.93
1/5/1991 0:00,0.422
1/6/1991 0:00,13.332
1/7/1991 0:00,70.536
1/8/1991 0:00,514.02
1/9/1991 0:00,11.238
1/10/1991 0:00,22.312
1/11/1991 0:00,12.043
1/12/1991 0:00,1.9
1/1/1992 0:00,1.656
1/2/1992 0:00,1.69
1/3/1992 0:00,1.664
1/4/1992 0:00,19.891
1/5/1992 0:00,6.617
1/6/1992 0:00,24.179
1/7/1992 0:00,23.188
1/8/1992 0:00,11.557
